gender,age,years_married,child,religious,education,occupation,self_quality_rating,number_of_affairs
0,37.0,10.0,0,3,18,7,4,0
1,27.0,4.0,0,4,14,6,4,0
1,32.0,15.0,1,1,12,1,4,0
0,57.0,15.0,1,5,18,6,5,0
0,22.0,0.75,0,2,17,6,3,0
1,32.0,1.5,0,2,17,5,5,0
1,22.0,0.75,0,2,12,1,3,0
0,57.0,15.0,1,2,14,4,4,0
1,32.0,15.0,1,4,16,1,2,0
0,22.0,1.5,0,4,14,4,5,0
0,37.0,15.0,1,2,20,7,2,0
0,27.0,4.0,1,4,18,6,4,0
0,47.0,15.0,1,5,17,6,4,0
1,22.0,1.5,0,2,17,5,4,0
1,27.0,4.0,0,4,14,5,4,0
1,37.0,15.0,1,1,17,5,5,0
1,37.0,15.0,1,2,18,4,3,0
1,22.0,0.75,0,3,16,5,4,0
1,22.0,1.5,0,2,16,5,5,0
1,27.0,10.0,1,2,14,1,5,0
1,22.0,1.5,0,2,16,5,5,0
1,22.0,1.5,0,2,16,5,5,0
1,27.0,10.0,1,4,16,5,4,0
1,32.0,10.0,1,3,14,1,5,0
0,37.0,4.0,1,2,20,6,4,0
1,22.0,1.5,0,2,18,5,5,0
1,27.0,7.0,0,4,16,1,5,0
0,42.0,15.0,1,5,20,6,4,0
0,27.0,4.0,1,3,16,5,5,0
1,27.0,4.0,1,3,17,5,4,0
0,42.0,15.0,1,4,20,6,3,0
1,22.0,1.5,0,3,16,5,5,0
0,27.0,0.41700000000000004,0,4,17,6,4,0
1,42.0,15.0,1,5,14,5,4,0
0,32.0,4.0,1,1,18,6,4,0
1,22.0,1.5,0,4,16,5,3,0
1,42.0,15.0,1,3,12,1,4,0
1,22.0,4.0,0,4,17,5,5,0
0,22.0,1.5,1,1,14,3,5,0
1,22.0,0.75,0,3,16,1,5,0
0,32.0,10.0,1,5,20,6,5,0
0,52.0,15.0,1,5,18,6,3,0
1,22.0,0.41700000000000004,0,5,14,1,4,0
1,27.0,4.0,1,2,18,6,1,0
1,32.0,7.0,1,5,17,5,3,0
0,22.0,4.0,0,3,16,5,5,0
1,27.0,7.0,1,4,18,6,5,0
1,42.0,15.0,1,2,18,5,4,0
0,27.0,1.5,1,4,16,3,5,0
0,42.0,15.0,1,2,20,6,4,0
1,22.0,0.75,0,5,14,3,5,0
0,32.0,7.0,1,2,20,6,4,0
0,27.0,4.0,1,5,20,6,5,0
0,27.0,10.0,1,4,20,6,4,0
0,22.0,4.0,0,1,18,5,5,0
1,37.0,15.0,1,4,14,3,1,0
0,22.0,1.5,1,5,16,4,4,0
1,37.0,15.0,1,4,17,1,5,0
1,27.0,0.75,0,4,17,5,4,0
0,32.0,10.0,1,4,20,6,4,0
1,47.0,15.0,1,5,14,7,2,0
0,37.0,10.0,1,3,20,6,4,0
1,22.0,0.75,0,2,16,5,5,0
0,27.0,4.0,0,2,18,4,5,0
0,32.0,7.0,0,4,20,6,4,0
0,42.0,15.0,1,2,17,3,5,0
0,37.0,10.0,1,4,20,6,4,0
1,47.0,15.0,1,3,17,6,5,0
1,22.0,1.5,0,5,16,5,5,0
1,27.0,1.5,0,2,16,6,4,0
1,27.0,4.0,0,3,17,5,5,0
1,32.0,10.0,1,5,14,4,5,0
1,22.0,0.125,0,2,12,5,5,0
0,47.0,15.0,1,4,14,4,3,0
0,32.0,15.0,1,1,14,5,5,0
0,27.0,7.0,1,4,16,5,5,0
1,22.0,1.5,1,3,16,5,5,0
0,27.0,4.0,1,3,17,6,5,0
1,22.0,1.5,0,3,16,5,5,0
0,57.0,15.0,1,2,14,7,2,0
0,17.5,1.5,1,3,18,6,5,0
0,57.0,15.0,1,4,20,6,5,0
1,22.0,0.75,0,2,16,3,4,0
0,42.0,4.0,0,4,17,3,3,0
1,22.0,1.5,1,4,12,1,5,0
1,22.0,0.41700000000000004,0,1,17,6,4,0
1,32.0,15.0,1,4,17,5,5,0
1,27.0,1.5,0,3,18,5,2,0
1,22.0,1.5,1,3,14,1,5,0
1,37.0,15.0,1,3,14,1,4,0
1,32.0,15.0,1,4,14,3,4,0
0,37.0,10.0,1,2,14,5,3,0
0,37.0,10.0,1,4,16,5,4,0
0,57.0,15.0,1,5,20,5,3,0
0,27.0,0.41700000000000004,0,1,16,3,4,0
1,42.0,15.0,1,5,14,1,5,0
0,57.0,15.0,1,3,16,6,1,0
0,37.0,10.0,1,1,16,6,4,0
0,37.0,15.0,1,3,17,5,5,0
0,37.0,15.0,1,4,20,6,5,0
1,27.0,10.0,1,5,14,1,5,0
0,37.0,10.0,1,2,18,6,4,0
1,22.0,0.125,0,4,12,4,5,0
0,57.0,15.0,1,5,20,6,5,0
1,37.0,15.0,1,4,18,6,4,0
0,22.0,4.0,1,4,14,6,4,0
0,27.0,7.0,1,4,18,5,4,0
0,57.0,15.0,1,4,20,5,4,0
0,32.0,15.0,1,3,14,6,3,0
1,22.0,1.5,0,2,14,5,4,0
1,32.0,7.0,1,4,17,1,5,0
